zip,state,county,city,timezone,coordinates
31008,Georgia,Peach,Byron,America/New_York,"32.65603, -83.78253"
31052,Georgia,Bibb,Lizella,America/New_York,"32.77312, -83.84471"
31301,Georgia,Liberty,Allenhurst,America/New_York,"31.75285, -81.60849"
31547,Georgia,Camden,Kings Bay,America/New_York,"30.7906, -81.56068"
31622,Georgia,Berrien,Alapaha,America/New_York,"31.37959, -83.20569"
31698,Georgia,Lowndes,Valdosta,America/New_York,"30.84889, -83.28953"
31909,Georgia,Muscogee,Columbus,America/New_York,"32.54486, -84.92161"
32063,Florida,Baker,Macclenny,America/New_York,"30.24678, -82.11208"
32095,Florida,St. Johns,Saint Augustine,America/New_York,"30.01101, -81.41077"
32218,Florida,Duval,Jacksonville,America/New_York,"30.48665, -81.66922"
32258,Florida,Duval,Jacksonville,America/New_York,"30.13755, -81.54844"
32304,Florida,Leon,Tallahassee,America/New_York,"30.45363, -84.35159"
32427,Florida,Washington,Caryville,America/Chicago,"30.71225, -85.80153"
32443,Florida,Jackson,Greenwood,America/Chicago,"30.86671, -85.11533"
32465,Florida,Gulf,Wewahitchka,America/Chicago,"30.00212, -85.17799"
32534,Florida,Escambia,Pensacola,America/Chicago,"30.5329, -87.28294"
32618,Florida,Alachua,Archer,America/New_York,"29.54033, -82.51501"
32626,Florida,Levy,Chiefland,America/New_York,"29.43104, -82.89024"
32653,Florida,Alachua,Gainesville,America/New_York,"29.74328, -82.39538"
32669,Florida,Alachua,Newberry,America/New_York,"29.63266, -82.60458"
32759,Florida,Volusia,Oak Hill,America/New_York,"28.83578, -80.90041"
32792,Florida,Orange,Winter Park,America/New_York,"28.60997, -81.29881"
32827,Florida,Orange,Orlando,America/New_York,"28.41572, -81.29413"
32952,Florida,Brevard,Merritt Island,America/New_York,"28.30017, -80.66339"
32968,Florida,Indian River,Vero Beach,America/New_York,"27.58701, -80.46543"
33125,Florida,Miami-Dade,Miami,America/New_York,"25.78384, -80.23755"
33142,Florida,Miami-Dade,Miami,America/New_York,"25.81194, -80.23858"
33150,Florida,Miami-Dade,Miami,America/New_York,"25.85204, -80.20711"
33155,Florida,Miami-Dade,Miami,America/New_York,"25.73667, -80.31098"
33437,Florida,Palm Beach,Boynton Beach,America/New_York,"26.51176, -80.14902"
33510,Florida,Hillsborough,Brandon,America/New_York,"27.95592, -82.30014"
33573,Florida,Hillsborough,Sun City Center,America/New_York,"27.72364, -82.35938"
33767,Florida,Pinellas,Clearwater Beach,America/New_York,"27.97, -82.82337"
33850,Florida,Polk,Lake Alfred,America/New_York,"28.12106, -81.73263"
33856,Florida,Polk,Nalcrest,America/New_York,"27.85647, -81.42832"
33868,Florida,Polk,Polk City,America/New_York,"28.25613, -81.82394"
33981,Florida,Charlotte,Port Charlotte,America/New_York,"26.9229, -82.21761"
34145,Florida,Collier,Marco Island,America/New_York,"25.91903, -81.6953"
34223,Florida,Sarasota,Englewood,America/New_York,"26.98035, -82.35198"
34285,Florida,Sarasota,Venice,America/New_York,"27.09153, -82.43399"
34293,Florida,Sarasota,Venice,America/New_York,"27.02802, -82.33552"
